,Station Intersection,Lat,Lng
153,Glen Edyth Dr / Davenport Rd,43.677778,-79.405556
154,161 Bleecker St (South of Wellesley),43.666595,-79.373235
155,Sumach St / Carlton St. (Riverdale Farm),43.6671213,-79.3611251
156,Front St E / Cherry St,43.6526324,-79.3580917
157,Cherry St / Distillery Ln,43.6503677,-79.3569845
158,Queen St E / Berkely St,43.655317,-79.3657508
159,University Ave / College St,43.659884,-79.390349
160,Queen St E / Sackville St,43.6562647,-79.361453
161,Danforth Ave / Lamb Ave,43.6821189,-79.3293481
162,Pape Subway Green P,43.6795523,-79.3453774
163,Margueretta St / College St W,43.651566,-79.437566
164,Bathurst St / Lennox St,43.6638315,-79.4106835
165,Central Tech  (Harbord St),43.6631181,-79.4089326
166,Ossington Ave / College St W,43.6543876,-79.4226798
167,Sterling Rd / Dundas St W,43.6506776,-79.4430582
168,Kendal Ave / Spadina Rd,43.6703049,-79.4052872
169,Spadina Ave / Willcocks St,43.6613194,-79.4012928
170,Donlands Station,43.6809818,-79.3378352
171,Queen St W / Cowan Ave,43.6413253,-79.4331243
172,Dufferin St / Sylvan Av (Dufferin Grove Park),43.6565553,-79.4327637
173,Ossington Ave / Harrison St,43.650949,-79.4213583
174,Dundas St E / Broadview Ave,43.6624391,-79.3513456
175,Ossington Ave / Bloor St W,43.6619827,-79.4256242
176,Boston Ave / Queen St E,43.6613414,-79.3387986
177,Bathurst Subway Station,43.6660011,-79.4112152
178,Liberty St / Fraser Ave Green P,43.6416978,-79.4236547
179,Bridgeman Ave / Kendal Ave,43.6754816,-79.4098212
180,Claremont St / Dundas St W,43.6511693,-79.4115844
181,Taddle Creek Park,43.6719982,-79.3988344
182,Bloor GO / UP Station/ Rail Path,43.6580286,-79.4508945
183,Stephenson Ave / Main St,43.6877284,-79.301609
184,Essex St / Christie St,43.6683553,-79.4202547
185,Bridgeman Ave / Bathurst St,43.6743307,-79.4148223
186,Dufferin St / Bloor St,43.6598576,-79.4353285
187,Mill St / Tannery Rd,43.652154,-79.3543446
188,Davenport Rd / Christie St,43.6755784,-79.4230446
189,Landsdowne Subway Green P,43.6610633,-79.4321367
190,Davenport Rd / Bathurst St,43.6766965,-79.4157557
191,Dundas St W / Edna Ave,43.657274,-79.4526928
192,Yonge St / Aylmer Ave,43.6755882,-79.3889658
193,Marlborough Ave / Yonge St,43.679879,-79.3907295
194,Mortimer Ave / Coxwell Ave,43.6905839,-79.326557
195,Woodbine Subway Green P (Cedarvale Ave),43.686833,-79.3110491
196,Danforth Ave / Coxwell Ave,43.6833563,-79.3235888
197,Danforth Ave / Barrington Ave,43.6884404,-79.3005649
198,Danforth Ave / Westlake Ave,43.6874331,-79.3052146
199,Lansdowne Ave / Whytock Ave,43.6538351,-79.4411144
200,Princess St / Adelaide St E,43.6523981,-79.3673842
201,Widmer St / Adelaide St W,43.6475685,-79.3915765
202,Michael Sweet Ave / St. Patrick St,43.6521354,-79.389317
203,Sherbourne St / Wellesley St E,43.6670726,-79.3746546
204,HTO Park (Queens Quay W),43.6375849,-79.3884382
205,College St / Major St,43.6574332,-79.402765
206,Beverly St / College St,43.6587134,-79.3958657
207,College St / Huron St,43.6582708,-79.3981902
208,Ossington Ave / College St,43.6543876,-79.4226798
209,College St / Markham St,43.6562169,-79.4089327
210,Wellesley St E / Yonge St (Green P),43.6689775,-79.3853383
211,St. George St / Bloor St W,43.6675177,-79.3998186
212,College St / Borden St,43.656965,-79.4051588
213,424 Wellington St W,43.6438342,-79.3966495
214,Margueretta St / College St,43.651566,-79.437566
215,Lansdowne Subway Green P,43.6610633,-79.4321367
216,Dundas St W / Yonge St,43.656325,-79.380903
217,Front St W / Yonge St (Hockey Hall of Fame),43.6472722,-79.3776902
218,Bloor GO / UP Station (West Toronto Railpath),43.6580286,-79.4508945
219,Front St W / Bay St (North Side),43.64613,-79.379295
220,College St / Crawford St,43.6551585,-79.4190145
221,Rusholme Park Cres / College St,43.6529203,-79.4296335
222,Queen St E / Larchmount Ave,43.6623377,-79.3343085
223,The Royal Ontario Museum (Bloor St Entrance),43.6677097,-79.3947771
224,Spadina Ave / Adelaide St W,43.646761,-79.3954343
225,Dundas St W / St. Patrick St,43.6544805,-79.3903151
226,Front St W / Bay St (South Side),43.64613,-79.379295
227,Lower Spadina Ave / Lake Shore Blvd,43.6385386,-79.3921202
228,Bloor St W / Balmuto St,43.6699957,-79.3880036
229,Roxton Rd / College St,43.6546432,-79.4214687
230,Bloor St W / High Park Ave (High Park),43.6535605,-79.4652644
231,Base Station,43.645195,-79.3806
232,Humber Bay Shores Park East,43.6279083,-79.4756618
233,Lakeshore Blvd W / Ellis Ave,43.6361237,-79.4651582
234,Lakeshore Blvd W / The Boulevard Club,43.6356509,-79.4440176
235,Ward Ave / Wallace Ave,43.6620325,-79.4458421
236,Humber Bay Shores Park West,43.6279083,-79.4756618
237,Lake Shore Blvd W / Ontario Dr(Ontario Place),43.6303922,-79.4198324
238,Sunnyside - Gus Ryder Pool,43.6376543,-79.454552
239,Martin Goodman Trail (Marilyn Bell Park),43.631462,-79.4316385
240,High Park Subway Station,43.6538467,-79.4668176
241,Queen St W / Roncesvalles Ave,43.6453349,-79.4131843
242,Lake Shore Blvd W / Windermere Ave,43.6352044,-79.4681797
243,Toronto Eaton Centre (Yonge St),43.6544382,-79.3806994
244,Queen St W / James St,43.652101,-79.3807098
245,Roncesvalles Ave / Marmaduke St,43.6504594,-79.4506543
246,Garden Ave / Roncesvalles Ave,43.6438041,-79.4474894
247,Dufferin Gate - SMART,43.634399,-79.425873
248,Queen St W  /  Fuller Ave - SMART,43.6401129,-79.4391036
249,Dundas St W / Roncesvalles Green P - SMART,43.6530279,-79.3969684
250,Sorauren/Geoffrey (Sorauren Park) - SMART,43.6486215,-79.4433349
251,Howard Park Ave / Dundas St W - SMART,43.652162,-79.4481727
252,Wallace Ave / Symington Ave - SMART,43.6614399,-79.4492708
253,St. George St / Russell St - SMART,43.6604579,-79.3969562
254,Tecumseth St / Queen St W - SMART,43.6505077,-79.3878689
255,Parkside Dr / Bloor St W - SMART,43.6547002,-79.4601524
256,Thompson St / Broadview Ave - SMART,43.6595704,-79.3501257
257,Dundas St E / Pembroke St - SMART,43.6581648,-79.3724019
258,Baldwin Ave / Spadina Ave - SMART,43.654905,-79.398448
259,Queen's Park Cres E / Grosvenor St - SMART,43.6617465,-79.3898756
260,Bay St / College St (West Side) - SMART,43.6608355,-79.3858556
261,Gerrard St E / Broadview - SMART,43.6654635,-79.351462
262,King / Cowan Ave - SMART,43.637922,-79.431734
263,Church St / Dundas St E - SMART,43.656406,-79.3774634
264,Queen St E / Pape Ave - SMART,43.6707498,-79.2976896
265,Walton St / Elizabeth St - SMART,43.6577699,-79.3861666
266,Rosehill Ave / Avoca Ave - SMART,43.687323,-79.3883309
267,111 Bond St (North of Dundas St E)  - SMART,43.6559949,-79.378397
268,John St  / Mercer St - SMART,43.6459532,-79.3894662
269,Victoria Park Subway Station - SMART,43.693992,-79.2887774
270,Bay St / Charles St - SMART,43.6682107,-79.3888471
271,Charles St W / Balmuto St - SMART,43.668477,-79.3873854
272,Charles St E / Jarvis St - SMART,43.6699532,-79.3798863
273,Chorley Park - SMART,43.6860497,-79.3692834
274,Wright / Sorauren (Sorauren Park) - SMART,43.6486215,-79.4433349
275,Yonge St / Dundonald St - SMART,43.6658332,-79.3849316
276,519 Church St - SMART,43.6665315,-79.3809699
277,Borden St / Bloor St W - SMART,43.6656652,-79.4086442
