,Date,avg_temp,avg_rain,weather_main
40,2017-02-10,266.6983333333333,0.0,Snow
41,2017-02-11,272.61541666666665,0.0,Clouds
42,2017-02-12,271.28749999999997,0.028124999999999997,Snow
43,2017-02-13,271.6514333366667,0.2,Snow
44,2017-02-14,270.0643020875,0.012499999999999999,Clear
45,2017-02-15,273.5567083333333,0.09999999999999999,Clouds
46,2017-02-16,267.69945833333327,0.0,Clouds
47,2017-02-17,265.5185833333334,0.0,Clear
48,2017-02-18,275.86825000000005,0.0,Clear
49,2017-02-19,276.98475,0.0,Clear
50,2017-02-20,273.34441666666663,0.0,Clear
51,2017-02-21,275.01800841538454,0.06923076923076923,Clouds
52,2017-02-22,277.86263157894734,0.08684210526315787,Mist
53,2017-02-23,283.3019230769231,0.023076923076923075,Mist
54,2017-02-24,277.978275862069,0.14482758620689656,Mist
55,2017-02-25,277.766,0.3120000000000002,Mist
56,2017-02-26,272.25083333333333,0.0375,Snow
57,2017-02-27,277.2983333333333,0.0,Clouds
58,2017-02-28,277.05625000000003,0.012499999999999999,Clouds
59,2017-03-01,282.62069767441847,0.41860465116279105,Rain
60,2017-03-02,271.23839999999996,0.09599999999999997,Snow
61,2017-03-03,266.99692307692317,0.17307692307692307,Clouds
62,2017-03-04,263.87166666666667,0.0,Clear
63,2017-03-05,264.6012461,0.0,Clear
64,2017-03-06,273.7383333333334,0.049999999999999996,Clouds
65,2017-03-07,280.17603773584904,0.26037735849056626,Rain
66,2017-03-08,279.97296296296304,0.08888888888888889,Clouds
67,2017-03-09,274.54833333333335,0.075,Clouds
68,2017-03-10,269.1537931034483,0.34137931034482766,Clouds
69,2017-03-11,263.27642857142854,0.2571428571428572,Snow
70,2017-03-12,263.330799376,0.07200000000000001,Snow
71,2017-03-13,264.34333138333335,0.0,Snow
72,2017-03-14,264.2108333333333,0.0,Snow
73,2017-03-15,265.60708333333343,0.0,Snow
74,2017-03-16,269.7120833333333,0.0,Clear
75,2017-03-17,272.6454166666667,0.0,Clear
76,2017-03-18,273.75138888888887,0.16666666666666663,Snow
77,2017-03-19,274.66275862068966,0.10344827586206895,Clouds
78,2017-03-20,274.79833333333323,0.0,Clouds
79,2017-03-21,278.4975,0.09642857142857142,Mist
80,2017-03-22,269.2691666666667,0.012499999999999999,Clear
81,2017-03-23,269.06374999999997,0.0,Clear
82,2017-03-24,276.433,0.21999999999999995,Clouds
83,2017-03-25,276.5166666666666,0.2454545454545454,Rain
84,2017-03-26,276.0075,0.075,Clouds
85,2017-03-27,280.68944444444446,0.23333333333333334,Mist
86,2017-03-28,281.4342962962963,0.06666666666666667,Clouds
87,2017-03-29,277.76666666666665,0.0,Clouds
88,2017-03-30,275.9114285714286,0.08571428571428572,Clouds
89,2017-03-31,275.5699999999999,0.3000000000000003,Rain
90,2017-04-01,276.5427777777778,0.14166666666666664,Clouds
91,2017-04-02,280.2416666666667,0.0,Clouds
92,2017-04-03,281.44625,0.08750000000000001,Clouds
93,2017-04-04,281.51844444444447,0.3600000000000002,Rain
94,2017-04-05,279.1641666666667,0.0,Clouds
95,2017-04-06,279.12928571428574,0.4542857142857145,Rain
96,2017-04-07,274.74578947368417,0.18157894736842098,Snow
97,2017-04-08,277.68125,0.0,Clear
98,2017-04-09,281.51583333333326,0.0,Clear
99,2017-04-10,286.55800000000005,0.024,Clear
100,2017-04-11,287.73407407407404,0.2222222222222222,Rain
101,2017-04-12,281.36791666666664,0.012499999999999999,Clouds
102,2017-04-13,279.3967916708333,0.0,Clear
103,2017-04-14,281.5941666666667,0.0,Clouds
104,2017-04-15,281.28846153846155,0.13846153846153847,Clear
105,2017-04-16,289.48708333333326,0.075,Clouds
106,2017-04-17,283.48391666666663,0.125,Clear
107,2017-04-18,277.500875,0.0,Clear
108,2017-04-19,282.91555555555556,0.2222222222222222,Rain
109,2017-04-20,280.71882352941185,0.26470588235294124,Rain
110,2017-04-21,281.15264705882345,0.14999999999999997,Mist
111,2017-04-22,280.8229166666667,0.0375,Clouds
112,2017-04-23,282.9541666666667,0.0,Clear
113,2017-04-24,282.7341666666667,0.0,Clear
114,2017-04-25,281.23899999999986,0.13999999999999999,Clear
115,2017-04-26,284.4854166666667,0.0,Clouds
116,2017-04-27,288.95500000000004,0.06923076923076923,Clear
117,2017-04-28,287.1458620689655,0.08275862068965517,Clouds
118,2017-04-29,284.31791666666663,0.0,Clouds
119,2017-04-30,279.60119999999995,0.10799999999999998,Clouds
120,2017-05-01,281.43250000000006,0.5250000000000002,Rain
121,2017-05-02,283.35880000000003,0.15599999999999997,Rain
122,2017-05-03,281.6145833333333,0.024999999999999998,Clouds
123,2017-05-04,280.8410344827585,0.20689655172413796,Clouds
124,2017-05-05,280.82,0.30000000000000027,Rain
125,2017-05-06,280.1225490196079,0.20000000000000007,Mist
126,2017-05-07,279.1471875,0.22499999999999995,Rain
127,2017-05-08,279.9887499999999,0.0,Clouds
128,2017-05-09,280.1525000000001,0.0,Clouds
129,2017-05-10,280.2091666666666,0.0,Clear
130,2017-05-11,282.3083333333334,0.0375,Clouds
131,2017-05-12,283.5133333333333,0.012499999999999999,Clouds
132,2017-05-13,285.0204,0.168,Clouds
133,2017-05-14,283.62258064516124,0.14516129032258063,Mist
134,2017-05-15,285.66333333333324,0.0,Clear
135,2017-05-16,286.0933333333333,0.08750000000000001,Clear
136,2017-05-17,290.7279166666667,0.0,Clear
137,2017-05-18,296.1242307692308,0.10384615384615385,Clouds
138,2017-05-19,287.93125000000003,0.0375,Clouds
139,2017-05-20,284.51458333333335,0.0,Clear
140,2017-05-21,285.46375,0.27187500000000003,Rain
141,2017-05-22,286.04371428571426,0.09428571428571426,Mist
142,2017-05-23,287.19750000000005,0.075,Clouds
143,2017-05-24,290.0033333333333,0.0,Clouds
144,2017-05-25,286.38688888888885,0.5666666666666668,Rain
145,2017-05-26,286.568,0.22666666666666668,Mist
146,2017-05-27,288.51346153846157,0.06923076923076923,Clouds
147,2017-05-28,288.73625,0.0,Clouds
148,2017-05-29,291.02741935483874,0.17419354838709675,Clouds
149,2017-05-30,290.15851851851846,0.2777777777777778,Thunderstorm
150,2017-05-31,289.53785714285715,0.3,Rain
151,2017-06-01,288.01833333333326,0.012499999999999999,Clouds
152,2017-06-02,286.9425,0.012499999999999999,Clouds
153,2017-06-03,288.7062499999999,0.012499999999999999,Clear
154,2017-06-04,287.5858620689655,0.2172413793103448,Rain
155,2017-06-05,287.0459259259259,0.0,Mist
156,2017-06-06,287.48222222222216,0.3,Rain
157,2017-06-07,286.7169230769231,0.057692307692307696,Clear
158,2017-06-08,290.30499999999995,0.0,Clear
159,2017-06-09,291.75624999999997,0.049999999999999996,Clear
160,2017-06-10,293.4875,0.0375,Clear
161,2017-06-11,297.1708333333333,0.0,Clear
162,2017-06-12,297.4583333333333,0.0,Clear
