,Station Intersection,Lat,Lng
393,Riverdale Park North (Broadview Ave),,
394,Beverly St / College St W,,
395,College St W / Crawford St,,
396,Queens Quay W / Dan Leckie Way,,
397,Scott St / The Esplanade,,
398,161 Bleecker St (South of Wellesley),,
399,Phoebe St / Spadina Ave,,
400,University Ave / Elm St,,
401,Niagara St / Tecumseth St,,
402,Chester Station,,
403,Wellesley St / Queen's Park Cres,,
404,Queens Park / Bloor St W,,
405,Front St / Bay St (North Side),,
406,Yonge St / Yorkville Ave,,
407,College St W / Huron St,,
408,Ulster St / Bathurst St,,
409,Danforth Ave / Ellerbeck St,,
410,St George St / Bloor St W,,
411,Sumach St / Carlton St. (Riverdale Farm),,
412,Lower Jarvis St / The Esplanade,,
413,York St / Queens Quay W,,
414,Parliament St / Gerrard St,,
415,Kendal Ave / Spadina Rd,,
416,Sherbourne St / Carlton St (Allan Gardens),,
417,Gerrard St E / River St,,
418,Riverdale Park South (Broadview Ave),,
419,Roxton Rd / Harbord St,,
420,Queen St W / Cowan Ave,,
421,Jimmie Simpson Park (Queen St E),,
422,Carlton St / Parliament St,,
423,Palmerston Ave / Vermont Ave,,
424,Salem Ave / Bloor St W,,
425,St. George St / Hoskin Ave,,
426,College St W / Major St,,
427,Taddle Creek Park,,
428,Willcocks St / St. George St,,
429,Yarmouth Rd / Christie St,,
430,Wellington St W / Stafford St,,
431,Ossington Ave / Bloor St W,,
432,Yonge St / Harbour St,,
433,Danforth Ave / Aldridge Ave,,
434,King St W / Joe Shuster Way,,
435,Danforth Ave / Gough Ave,,
436,Donlands Station,,
437,Central Tech  (Harbord St),,
438,Queen St E / Sackville St,,
439,Fort York Blvd / Garrison Rd,,
440,Huron/ Harbord St,,
441,Front St / Yonge St (Hockey Hall of Fame),,
442,Bridgeman Ave / Kendal Ave,,
443,Wellington St W / Bay St,,
444,Marlborough Ave / Yonge St,,
445,Margueretta St / College St W,,
446,Cherry St / Mill St,,
447,Cherry St / Distillery Ln,,
448,Spadina Ave / Willcocks St,43.6613194,-79.4012928
449,Davenport Rd / Avenue Rd,,
450,Mary McCormick Rec Centre (Sheridan Ave),,
451,Kendal Ave / Bernard Ave,,
452,King St W / Bay St (West Side),,
453,Sterling Rd / Dundas St W,,
454,Spadina Ave / Sussex Ave,,
455,Parliament St / Aberdeen Ave,,
456,Claremont St / Dundas St W,,
457,Bay St / Wellesley St W,,
458,Harbord St / Clinton St,,
459,Dundas St E / Broadview Ave,,
460,Bathurst St / Lennox St,,
461,McGill St / Church St,,
462,Queen St W / Close Ave,,
463,51 Parliament St,,
464,Macpherson Ave / Spadina Rd,,
465,Danforth Ave / Lamb Ave,,
466,Dufferin St / Sylvan Av (Dufferin Grove Park),,
467,Christie St / Benson Ave (Wychwood Barns),,
468,Bloor St W / Dundas St W,,
469,Dufferin St / Bloor St,,
470,Hayter St / Laplante Ave,,
471,Davenport Rd / Bedford Rd,,
472,Essex St / Christie St,,
473,Glen Edyth Dr / Davenport Rd,,
474,Ossington Ave / Harrison St,,
475,Ossington Ave / College St W,,
476,Landsdowne Subway Green P,,
477,Davenport Rd / Christie St,,
478,Stephenson Ave / Main St,,
479,Yonge St / Aylmer Ave,,
480,Bloor GO / UP Station/ Rail Path,,
481,Bay St / Davenport Rd,,
482,Davenport Rd / Bathurst St,,
483,Mill St / Tannery Rd,,
484,Dundas St W / Edna Ave,,
485,Danforth Ave / Coxwell Ave,,
486,Bridgeman Ave / Bathurst St,,
