,0
422,Jimmie Simpson Park (Queen St E)
423,Carlton St 
424,Palmerston Ave 
425,Salem Ave 
426,St. George St 
427,College St W 
428,Taddle Creek Park
429,Willcocks St 
430,Yarmouth Rd 
431,Wellington St W 
432,Ossington Ave 
433,Yonge St 
434,Danforth Ave 
435,King St W 
436,Danforth Ave 
437,Donlands Station
438,Central Tech  (Harbord St)
439,Queen St E 
440,Fort York Blvd 
441,Huron
442,Front St 
443,Bridgeman Ave 
444,Wellington St W 
445,Marlborough Ave 
446,Margueretta St 
447,Cherry St 
448,Cherry St 
449,Spadina Ave 
450,Davenport Rd 
451,Mary McCormick Rec Centre (Sheridan Ave)
452,Kendal Ave 
453,King St W 
454,Sterling Rd 
455,Spadina Ave 
456,Parliament St 
457,Claremont St 
458,Bay St 
459,Harbord St 
460,Dundas St E 
461,Bathurst St 
462,McGill St 
463,Queen St W 
464,51 Parliament St
465,Macpherson Ave 
466,Danforth Ave 
467,Dufferin St 
468,Christie St 
469,Bloor St W 
470,Dufferin St 
471,Hayter St 
472,Davenport Rd 
473,Essex St 
474,Glen Edyth Dr 
475,Ossington Ave 
476,Ossington Ave 
477,Landsdowne Subway Green P
478,Davenport Rd 
479,Stephenson Ave 
480,Yonge St 
481,Bloor GO 
482,Bay St 
483,Davenport Rd 
484,Mill St 
485,Dundas St W 
486,Danforth Ave 
487,Bridgeman Ave 
488,Lansdowne Ave 
489,Mortimer Ave 
490,Danforth Ave 
491,Pape Subway Green P
492,Danforth Ave 
493,Woodbine Subway Green P (Cedarvale Ave)
494,424 Wellington St W
495,HTO Park (Queens Quay W)
496,Dundas St W 
497,Wellesley St E 
498,College St 
499,Princess St 
500,College St 
501,Beverly St 
502,Widmer St 
503,College St 
504,Sherbourne St 
505,Michael Sweet Ave 
506,St. George St 
507,Front St W 
508,Rusholme Park Cres 
509,Ossington Ave 
510,Front St W 
511,College St 
512,Margueretta St 
513,Lansdowne Subway Green P
514,College St 
515,Bloor GO 
516,Queen St E 
517,The Royal Ontario Museum (Bloor St Entrance)
518,Spadina Ave 
519,Dundas St W 
520,Lower Spadina Ave 
521,Bloor St W 
522,Roxton Rd 
523,Front St W 
524,Bloor St W 
525,Humber Bay Shores Park East
526,Lakeshore Blvd W 
527,Lakeshore Blvd W 
528,Humber Bay Shores Park West
529,Sunnyside - Gus Ryder Pool
530,Lake Shore Blvd W 
531,Martin Goodman Trail (Marilyn Bell Park)
532,Ward Ave 
533,Lake Shore Blvd W 
534,High Park Subway Station
535,Queen St W 
536,Toronto Eaton Centre (Yonge St)
537,Garden Ave 
538,Queen St W 
539,Roncesvalles Ave 
540,Exhibition GO Station
541,Dufferin Gate - SMART
542,Queen St W  
543,King 
544,Dundas St W 
545,Parkside Dr 
546,Howard Park Ave 
547,Sorauren
548,Wallace Ave 
549,Queen's Park Cres E 
550,St. George St 
551,Tecumseth St 
552,Baldwin Ave 
553,Thompson St 
554,Queen St E 
555,Dundas St E 
556,Bay St 
557,Church St 
558,Gerrard St E 
559,111 Bond St (North of Dundas St E)  - SMART
560,Walton St 
561,John St  
562,Rosehill Ave 
563,Victoria Park Subway Station - SMART
564,Bay St 
565,Charles St E 
566,Charles St W 
567,Summerhill Ave 
568,Chorley Park - SMART
569,Wright 
570,Yonge St 
571,519 Church St - SMART
572,Borden St 
573,Yonge St 
574,Wychwood Ave 
575,Adelaide St W 
576,Robert St 
577,York St 
578,Stewart St 
579,Bloor St E 
580,Bloor St W 
581,Spadina Ave 
582,Dovercourt Rd 
583,Vanauley St 
584,Bloor St W 
585,Base Station
586,Fringe Next Stage - 7219
587,
