,Date,Time,temp,weather_main,rain_1h,rain_3h,rain_24h,rain_today
38611,2017-01-06,13:00:00,260.3299844,Clear,,,,
38612,2017-01-06,14:00:00,260.3299844,Clear,,,,
38613,2017-01-06,15:00:00,261.5499844,Clear,,,,
38614,2017-01-06,16:00:00,263.16,Clear,,,,
38615,2017-01-06,17:00:00,264.34,Clear,,,,
38616,2017-01-06,18:00:00,265.55,Clear,,,,
38617,2017-01-06,19:00:00,265.74,Clear,,,,
38618,2017-01-06,20:00:00,265.76,Clouds,,,,
38619,2017-01-06,21:00:00,266.15,Clouds,,,,
38620,2017-01-06,22:00:00,265.35,Clear,,,,
38621,2017-01-06,23:00:00,264.16,Clear,,,,
38622,2017-01-07,00:00:00,263.35,Clear,,,,
38623,2017-01-07,01:00:00,262.95,Clear,,,,
38624,2017-01-07,02:00:00,262.74,Clouds,,,,
38625,2017-01-07,03:00:00,262.15,Clouds,,,,
38626,2017-01-07,04:00:00,261.63,Clouds,,,,
38627,2017-01-07,05:00:00,261.37,Clear,,,,
38628,2017-01-07,06:00:00,260.88,Clear,,,,
38629,2017-01-07,07:00:00,260.63,Clear,,,,
38630,2017-01-07,08:00:00,259.84,Clear,,,,
38631,2017-01-07,09:00:00,259.84,Clear,,,,
38632,2017-01-07,10:00:00,259.84,Clear,,,,
38633,2017-01-07,11:00:00,259.09,Clear,,,,
38634,2017-01-07,12:00:00,259.09,Clear,,,,
38635,2017-01-07,13:00:00,258.9200156,Clear,,,,
38636,2017-01-07,14:00:00,259.13,Clear,,,,
38637,2017-01-07,15:00:00,260.72,Clear,,,,
38638,2017-01-07,16:00:00,262.94,Clouds,,,,
38639,2017-01-07,17:00:00,264.93,Snow,,,,
38640,2017-01-07,18:00:00,265.55,Snow,,,,
38641,2017-01-07,19:00:00,265.96,Snow,,,,
38642,2017-01-07,20:00:00,265.76,Snow,,,,
38643,2017-01-07,21:00:00,265.55,Rain,0.9,,,
38644,2017-01-07,22:00:00,264.79,Rain,0.9,,,
38645,2017-01-07,23:00:00,263.97,Snow,,,,
38646,2017-01-08,00:00:00,263.15,Clouds,,,,
38647,2017-01-08,01:00:00,262.76,Clouds,,,,
38648,2017-01-08,02:00:00,262.35,Clouds,,,,
38649,2017-01-08,03:00:00,262.37,Clear,,,,
38650,2017-01-08,04:00:00,261.9,Clear,,,,
38651,2017-01-08,05:00:00,261.9,Clouds,,,,
38652,2017-01-08,06:00:00,261.9,Clear,,,,
38653,2017-01-08,07:00:00,261.9,Clear,,,,
38654,2017-01-08,08:00:00,262.61,Snow,,,,
38655,2017-01-08,09:00:00,263.4,Snow,,,,
38656,2017-01-08,10:00:00,263.6,Snow,,,,
38657,2017-01-08,11:00:00,263.44,Snow,,,,
38658,2017-01-08,12:00:00,263.14,Snow,,,,
38659,2017-01-08,13:00:00,262.97,Snow,,,,
38660,2017-01-08,14:00:00,262.81,Snow,,,,
38661,2017-01-08,15:00:00,262.79,Clouds,,,,
38662,2017-01-08,16:00:00,262.96,Clear,,,,
38663,2017-01-08,17:00:00,263.36,Clear,,,,
38664,2017-01-08,18:00:00,263.15,Clear,,,,
38665,2017-01-08,19:00:00,263.16,Snow,,,,
38666,2017-01-08,20:00:00,263.55,Rain,0.9,,,
38667,2017-01-08,21:00:00,263.37,Snow,,,,
38668,2017-01-08,22:00:00,262.95,Rain,0.9,,,
38669,2017-01-08,23:00:00,262.16,Clear,,,,
38670,2017-01-09,00:00:00,261.9599844,Clear,,,,
38671,2017-01-09,01:00:00,261.7600156,Clear,,,,
38672,2017-01-09,02:00:00,260.9599844,Clear,,,,
38673,2017-01-09,03:00:00,261.35998440000003,Clear,,,,
38674,2017-01-09,04:00:00,261.63,Rain,0.9,,,
38675,2017-01-09,05:00:00,262.27,Clouds,,,,
38676,2017-01-09,06:00:00,263.08,Snow,,,,
38677,2017-01-09,07:00:00,263.31,Snow,,,,
38678,2017-01-09,08:00:00,263.86,Clouds,,,,
38679,2017-01-09,09:00:00,264.37,Clouds,,,,
38680,2017-01-09,10:00:00,265.14,Clouds,,,,
38681,2017-01-09,11:00:00,265.1,Snow,,,,
38682,2017-01-09,12:00:00,265.86,Snow,,,,
38683,2017-01-09,13:00:00,266.11,Snow,,,,
38684,2017-01-09,14:00:00,266.68,Snow,,,,
38685,2017-01-09,15:00:00,266.72,Snow,,,,
38686,2017-01-09,16:00:00,267.12,Snow,,,,
38687,2017-01-09,17:00:00,268.09,Rain,0.9,,,
38688,2017-01-09,17:00:00,268.09,Snow,0.9,,,
38689,2017-01-09,18:00:00,268.91,Clouds,,,,
38690,2017-01-09,19:00:00,269.56,Snow,,,,
38691,2017-01-09,20:00:00,269.98,Snow,,,,
38692,2017-01-09,21:00:00,270.15,Snow,,,,
38693,2017-01-09,22:00:00,269.76,Clouds,,,,
38694,2017-01-09,23:00:00,269.54,Clouds,,,,
38695,2017-01-10,00:00:00,269.55,Clouds,,,,
38696,2017-01-10,01:00:00,269.55,Clouds,,,,
38697,2017-01-10,02:00:00,269.77,Clouds,,,,
38698,2017-01-10,03:00:00,269.75,Clouds,,,,
38699,2017-01-10,04:00:00,270.12,Clouds,,,,
38700,2017-01-10,05:00:00,269.88,Clouds,,,,
38701,2017-01-10,06:00:00,270.39,Clouds,,,,
38702,2017-01-10,07:00:00,270.9,Clouds,,,,
38703,2017-01-10,08:00:00,271.16,Clouds,,,,
38704,2017-01-10,09:00:00,271.13,Snow,,,,
38705,2017-01-10,10:00:00,271.34,Snow,,,,
38706,2017-01-10,11:00:00,270.89,Snow,,,,
38707,2017-01-10,12:00:00,270.85,Snow,,,,
38708,2017-01-10,13:00:00,271.34,Snow,,,,
38709,2017-01-10,14:00:00,271.56,Snow,,,,
38710,2017-01-10,15:00:00,271.93,Snow,,,,
38711,2017-01-10,16:00:00,272.31,Snow,,,,
