,lat,lng,trips
228,43.6707898,-79.35612540000001,42680
229,43.6710294,-79.3831411,64832
230,43.6712495,-79.37642120000001,48188
231,43.671535,-79.379173,10056
232,43.67159960000001,-79.4163406,14924
233,43.6716033,-79.3805398,56672
234,43.6719226,-79.3874532,47208
235,43.671929399999996,-79.40843220000001,26516
236,43.671998200000004,-79.3988344,20048
237,43.672033299999995,-79.370728,12044
238,43.6730853,-79.3906658,19700
239,43.6736049,-79.3688194,11028
240,43.674330700000006,-79.4148223,11384
241,43.674364399999995,-79.3998092,9412
242,43.6746978,-79.3965732,14948
243,43.6754816,-79.40982120000001,11152
244,43.6755784,-79.4230446,13804
245,43.67558820000001,-79.3889658,14388
246,43.6758521,-79.4074745,29696
247,43.676679,-79.356409,28252
248,43.676696500000006,-79.4157557,8852
249,43.677778,-79.405556,21140
250,43.6782356,-79.35245450000001,16980
251,43.6786924,-79.3461056,20032
252,43.6795523,-79.3453774,7088
253,43.679879,-79.3907295,12424
254,43.67998239999999,-79.4240684,20376
255,43.6805156,-79.4228273,3648
256,43.6809818,-79.3378352,10864
257,43.6821189,-79.32934809999999,8492
258,43.6822899,-79.39077440000001,22020
259,43.6833563,-79.3235888,9352
260,43.6847323,-79.3171844,6988
261,43.6855976,-79.3780841,1488
262,43.686049700000005,-79.3692834,2604
263,43.686833,-79.31104909999999,3576
264,43.687323,-79.3883309,5892
265,43.6874331,-79.3052146,3492
266,43.6877284,-79.301609,3620
267,43.6884404,-79.30056490000001,5852
268,43.6905839,-79.326557,4364
269,43.693992,-79.28877740000001,1424
